ID,Species,lat,lon,N,C,LEC,CNR,Sex,Year,TBL,Suess_d13C
KS18-09Pm,Sperm whale,-39.64111,174.29528,14.57,-17.55,-16.88,3.5,Male,2018,1400,-16.81
KS18-10Pm,Sperm whale,-39.64111,174.29528,14.5,-17.72,-17.63,3.5,Female,2018,1260,-17.56
KS18-13Pm,Sperm whale,-39.64111,174.29528,14.66,-17.55,-17.3,3.5,Male,2018,1250,-17.23
KS18-14Pm,Sperm whale,-39.64111,174.29528,14.11,-17.57,-17.28,3.5,Male,2018,1250,-17.21
KS18-15Pm,Sperm whale,-39.64111,174.29528,14.23,-17.75,-17.56,3.5,Male,2018,1175,-17.49
KS18-19Pm,Sperm whale,-39.64111,174.29528,13.97,-17.59,-17.17,3.5,Male,2018,1105,-17.1
KS18-06Sc,Striped dolphin,-36.09492,174.60615,12.91,-18.64,-17.54,3.5,Male,2018,NA,-17.47
KS11-14Dd,Common dolphin,-36.73921,174.75746,15.33,-17.37,-17,3.5,Female,2011,195,-16.78
KS20-02Gmac,Short-finned pilot whale,-36.72778,175.65889,13.12,-17.74,-16.83,3.510993533,Female,2020,NA,-16.81
KS11-43Oo,Killer whale,-36.6445,174.7212,17.45,-16.59,NA,3.55,Female,2011,240,-15.9
KS14-31Oo,Killer whale,-46.1544,167.4,16.12,-17.84,NA,3.561530123,Female,2014,328,-16.62
KS10-28Lc,Hourglass dolphin,-43.868311,173.004658,8.98,-20.6,-19.55,3.567899196,Male,2010,170.5,-19.3
KS18-02Lo,Dusky dolphin,-41.15067,173.03594,14.72,-17.39,-16.87,3.6,Male,2018,NA,-16.8
KS18-12Pm,Sperm whale,-39.64111,174.29528,14.6,-17.7,-17.31,3.6,Male,2018,1320,-17.24
KS18-16Pm,Sperm whale,-39.64111,174.29528,14.94,-17.05,-16.52,3.6,Male,2018,1290,-16.45
Gm442,Long-finned pilot whale,-40.51742,172.8604,11.87,-18.83,-17.87,3.610011514,Female,2014,382,-17.72
KS19-32Gm,Long-finned pilot whale,-35.88389,174.46722,12.78,-18.56,NA,3.614412576,Female,2019,NA,-17.12
KS20-18Fa,Pygmy killer whale,-36.02639,174.50611,14.58,-18.12,NA,3.618404614,Male,2020,NA,-16.91
Gm239,Long-finned pilot whale,-46.93346,167.76029,11.64,-17.1,NA,3.640359907,Male,2011,560,-16.17
Gm436,Long-finned pilot whale,-40.515,172.867222,11.9,-18.76,NA,3.65,M,2014,292,-17.11
Gm406,Long-finned pilot whale,-40.51742,172.8604,12.53,-18.52,NA,3.652961184,Female,2011,460,-16.92
Gm669,Long-finned pilot whale,-40.51742,172.8604,13.67,-18.93,NA,3.664236397,Female,2017,411,-17.27
Gm642,Long-finned pilot whale,-40.51742,172.8604,16.28,-18.66,-18.62,3.686686681,Female,2017,473,-18.53
KS19-30Gm,Long-finned pilot whale,-35.88389,174.46722,12.47,-18.96,NA,3.692398166,Female,2019,NA,-17.33
KS20-03Gmac,Short-finned pilot whale,-36.72778,175.65889,13.51,-18.13,NA,3.694935756,Male,2020,NA,-16.91
KS18-08Pm,Sperm whale,-39.64111,174.29528,14.59,-17.83,-17.44,3.7,Male,2018,1340,-17.37
KS18-21Pm,Sperm whale,-39.64111,174.29528,16.32,-17.52,-16.45,3.7,Male,2018,1613,-16.38
KS14-38Dd,Common dolphin,-36.7033,174.75272,15.3,-18,-17.12,3.7,Male,2014,207,-16.97
KS15-01Dd,Common dolphin,-36.26667,175.43333,13.22,-18.85,NA,3.7,Male,2015,220,-17.53
KS15-21Dd,Common dolphin,-36.62386,174.78407,15.28,-18.18,NA,3.7,Female,2015,162,-17.17
KS17-32Oo,Killer whale,-37.53694,177.98222,14.54,-18.33,NA,3.716660845,Female,2017,453,-16.95
Gm461,Long-finned pilot whale,-40.515,172.867222,12.19,-18.99,NA,3.73,M,2014,304,-17.24
KS16-04Oo,Killer whale,-36.08111,174.59861,15.1,-17.98,NA,3.732209395,Female,2016,473,-16.75
KS21-23Pm,Sperm whale,-36.281667,174.008333,13.82,-20.02,NA,3.74,M,2021,1478,-17.94
KS17-35Oo,Killer whale,-37.53694,177.98222,14.88,-17.94,NA,3.758283744,Female,2017,590,-16.74
KS20-04Gmac,Short-finned pilot whale,-36.72778,175.65889,14.85,-17.62,NA,3.760221605,Female,2020,NA,-16.64
KS14-24Oo,Killer whale,-46.1544,167.4,15.57,-18.11,NA,3.778908869,Female,2014,475,-16.77
KS18-11Pm,Sperm whale,-39.64111,174.29528,14.45,-17.72,-17.46,3.8,Male,2018,1250,-17.39
Gm280,Long-finned pilot whale,-46.93346,167.76029,12.43,-16.66,NA,3.802951476,Female,2011,434,-15.93
KS10-17Oo,Killer whale,-37.93667,176.98611,16.68,-17.12,NA,3.826115669,Male,2010,590,-16.16
KS20-22Zc,Cuvier's beaked whale,-35.48306,173.31917,14.9,-19.1,-17.81,3.841864731,Male,2020,NA,-17.79
KS15-14Tt,Bottlenose dolphin,-35.8,174.50306,15,-17.77,NA,3.844814745,Female,2015,279,-16.61
KS14-26Oo,Killer whale,-46.1544,167.4,15.85,-18.16,NA,3.84973067,Female,2014,550,-16.8
KS19-06Tt,Bottlenose dolphin,-46.44778,169.8,14.3,-18.69,-17.1,3.854899347,Male,2019,268,-17.06
KS14-30Oo,Killer whale,-46.1544,167.4,15.71,-18.08,NA,3.872769961,Female,2014,385,-16.76
